TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,DiscountPercent,PaymentType
595,5/19/2024,1006,108,406,1,25.12,0%,DebitCard
596,5/29/2024,1011,105,401,0,98.9,10%,Cash
597,5/29/2024,1008,102,404,0,195.5,15%,DebitCard
598,6/6/2024,1001,104,401,0,387.9,20%,CreditCard
599,6/6/2024,1004,102,404,0,351.9,25%,ApplePay
600,6/12/2024,1010,103,402,0,182.08,30%,Cash
601,6/12/2024,1005,106,405,0,711.84,45%,DebitCard
602,6/17/2024,1007,101,405,0,2379.36,50%,CreditCard
603,6/17/2024,1006,101,406,0,2379.36,0%,ApplePay
604,6/20/2024,1009,102,403,0,39.1,55%,CreditCard
605,6/20/2024,1002,108,402,0,12.56,5%,Cash
606,7/2/2024,1005,105,405,0,79.12,10%,ApplePay
607,7/2/2024,1011,108,401,0,50.24,15%,DebitCard
608,7/4/2024,1003,102,403,0,39.1,20%,Cash
609,7/4/2024,1004,101,404,0,3965.6,0%,CreditCard
610,7/4/2024,1010,106,402,0,88.98,25%,DebitCard
611,7/4/2024,1006,102,406,0,195.5,30%,ApplePay
612,7/7/2024,1003,104,403,2,258.6,35%,Cash
613,7/7/2024,1003,104,403,2,258.6,40%,CreditCard
614,7/15/2024,1011,101,401,2,7138.08,55%,DebitCard
615,7/15/2024,1010,104,402,2,387.9,0%,ApplePay
616,7/17/2024,1001,107,401,2,134.04,5%,Cash
617,7/17/2024,1003,107,403,2,134.04,10%,DebitCard
618,7/21/2024,1001,104,401,2,172.4,15%,CreditCard
619,7/21/2024,1008,105,404,2,79.12,20%,ApplePay
620,7/25/2024,1007,108,405,0,125.6,25%,Cash
621,7/25/2024,1010,101,402,0,7931.2,30%,CreditCard
622,8/1/2024,1003,108,403,0,100.48,35%,ApplePay
623,8/1/2024,1002,107,402,0,536.16,40%,DebitCard
624,8/2/2024,1011,108,401,0,125.6,45%,Cash
625,8/2/2024,1002,108,402,0,125.6,50%,DebitCard
626,8/5/2024,1003,108,403,0,37.68,10%,CreditCard
627,8/5/2024,1006,104,406,0,129.3,15%,ApplePay
628,8/14/2024,1011,107,401,0,201.06,0%,Cash
629,8/14/2024,1006,101,406,0,2379.36,20%,ApplePay
630,8/21/2024,1007,104,405,0,172.4,25%,CreditCard
631,8/21/2024,1002,107,402,0,268.08,30%,DebitCard
632,8/25/2024,1006,108,406,0,75.36,35%,Cash
633,8/25/2024,1002,104,402,0,258.6,40%,ApplePay
634,8/28/2024,1006,105,406,0,39.56,45%,DebitCard
635,8/28/2024,1005,106,405,0,177.96,50%,CreditCard
636,9/5/2024,1005,107,405,3,1072.32,55%,Cash
637,9/5/2024,1007,107,405,3,1072.32,5%,DebitCard
638,9/22/2024,1001,101,401,3,6344.96,20%,ApplePay
639,9/22/2024,1007,104,405,3,689.6,25%,CreditCard
640,9/30/2024,1005,107,405,3,268.08,0%,DebitCard
641,9/30/2024,1010,103,402,3,45.52,30%,CreditCard
642,10/10/2024,1002,101,402,0,5551.84,35%,Cash
643,10/10/2024,1010,104,402,0,301.7,0%,Cash
630,8/21/2024,1007,104,405,0,172.4,25%,CreditCard
597,5/29/2024,1008,102,404,0,195.5,15%,DebitCard
637,9/5/2024,1007,107,405,3,1072.32,5%,DebitCard
